"","trial","response","n","data_y","model_y","half","sq_err","uncertainty_noise"
"1",0,"no_difference",59,0.951612903225806,0.7475,"train",0.0416620772632674,0.9
"2",0,"affect",1,0.0161290322580645,0.19775,"train",0.0329861759235172,0.9
"3",0,"enable",1,0.0161290322580645,0.0375,"train",0.000456718262226847,0.9
"4",0,"cause",1,0.0161290322580645,0.01725,"train",1.25656867845994e-06,0.9
"5",1,"no_difference",6,0.0967741935483871,0.235,"test",0.0191063735691988,0.9
"6",1,"affect",7,0.112903225806452,0.42275,"test",0.0960050234781478,0.9
"7",1,"enable",47,0.758064516129032,0.1965,"test",0.315354705775234,0.9
"8",1,"cause",2,0.032258064516129,0.14575,"test",0.0128804194198751,0.9
"9",2,"no_difference",39,0.629032258064516,0.297,"train",0.110245420395421,0.9
"10",2,"affect",15,0.241935483870968,0.42375,"train",0.0330565182752341,0.9
"11",2,"enable",2,0.032258064516129,0.166,"train",0.0178869053069719,0.9
"12",2,"cause",6,0.0967741935483871,0.11325,"train",0.00027145219823101,0.9
"13",3,"no_difference",3,0.0483870967741935,0.18,"train",0.0173219562955255,0.9
"14",3,"affect",22,0.354838709677419,0.39575,"train",0.00167373367585848,0.9
"15",3,"enable",7,0.112903225806452,0.2345,"train",0.0147857754942768,0.9
"16",3,"cause",30,0.483870967741935,0.18975,"train",0.0865071436654527,0.9
"17",4,"no_difference",36,0.580645161290323,0.2705,"test",0.0961900210718002,0.9
"18",4,"affect",18,0.290322580645161,0.42275,"test",0.0175370213969823,0.9
"19",4,"enable",6,0.0967741935483871,0.182,"test",0.00726343808532778,0.9
"20",4,"cause",2,0.032258064516129,0.12475,"test",0.00855475812955255,0.9
"21",5,"no_difference",1,0.0161290322580645,0.076,"train",0.00358453277835588,0.9
"22",5,"affect",4,0.0645161290322581,0.26025,"train",0.0383117482440166,0.9
"23",5,"enable",6,0.0967741935483871,0.27875,"train",0.0331151941337149,0.9
"24",5,"cause",51,0.82258064516129,0.385,"train",0.191476821019771,0.9
"25",6,"no_difference",4,0.0645161290322581,0.0645,"train",2.60145681581571e-10,0.9
"26",6,"affect",27,0.435483870967742,0.2705,"train",0.0272196776795005,0.9
"27",6,"enable",12,0.193548387096774,0.289,"train",0.00911101040582726,0.9
"28",6,"cause",19,0.306451612903226,0.376,"train",0.00483697814776275,0.9
"29",7,"no_difference",13,0.209677419354839,0.34,"test",0.0169839750260146,0.9
"30",7,"affect",3,0.0483870967741935,0.411,"test",0.131488117585848,0.9
"31",7,"enable",45,0.725806451612903,0.15575,"test",0.324964358025494,0.9
"32",7,"cause",1,0.0161290322580645,0.09325,"test",0.00594764366545265,0.9
"33",8,"no_difference",2,0.032258064516129,0.113,"train",0.00651926014568158,0.9
"34",8,"affect",19,0.306451612903226,0.31725,"train",0.000116605163891779,0.9
"35",8,"enable",16,0.258064516129032,0.2805,"train",0.000503350936524455,0.9
"36",8,"cause",25,0.403225806451613,0.28925,"train",0.0129904844562955,0.9
"37",9,"no_difference",5,0.0806451612903226,0.02375,"test",0.00323705937825182,0.9
"38",9,"affect",10,0.161290322580645,0.11525,"test",0.00211971130332986,0.9
"39",9,"enable",7,0.112903225806452,0.18575,"test",0.00530665251040583,0.9
"40",9,"cause",40,0.645161290322581,0.67525,"test",0.000905330450052031,0.9
"41",10,"no_difference",2,0.032258064516129,0.0635,"train",0.000976058532778356,0.9
"42",10,"affect",30,0.483870967741935,0.22625,"train",0.0663685630202914,0.9
"43",10,"enable",12,0.193548387096774,0.26375,"train",0.00492826645421436,0.9
"44",10,"cause",18,0.290322580645161,0.4465,"train",0.0243913863163371,0.9
"45",11,"no_difference",1,0.0161290322580645,0.06225,"train",0.00212714366545265,0.9
"46",11,"affect",16,0.258064516129032,0.211,"train",0.00221506867845994,0.9
"47",11,"enable",33,0.532258064516129,0.274,"train",0.066697227887617,0.9
"48",11,"cause",12,0.193548387096774,0.45275,"train",0.0671854761316337,0.9
"49",12,"no_difference",0,0,0.0125,"test",0.00015625,0.9
"50",12,"affect",1,0.0161290322580645,0.06,"test",0.00192466181061394,0.9
"51",12,"enable",4,0.0645161290322581,0.117,"test",0.00275455671175859,0.9
"52",12,"cause",57,0.919354838709677,0.8105,"test",0.0118493759105099,0.9
"53",13,"no_difference",1,0.0161290322580645,0.01275,"test",1.14178590010406e-05,0.9
"54",13,"affect",13,0.209677419354839,0.05275,"test",0.0246262149453694,0.9
"55",13,"enable",12,0.193548387096774,0.12825,"test",0.00426387935744017,0.9
"56",13,"cause",36,0.580645161290323,0.80625,"test",0.0508975432492196,0.9
"57",14,"no_difference",1,0.0161290322580645,0.037,"test",0.000435597294484911,0.9
"58",14,"affect",23,0.370967741935484,0.1685,"test",0.0409931865244537,0.9
"59",14,"enable",23,0.370967741935484,0.234,"test",0.0187601623309053,0.9
"60",14,"cause",15,0.241935483870968,0.5605,"test",0.101483350936524,0.9
"61",15,"no_difference",0,0,0.01125,"test",0.0001265625,0.9
"62",15,"affect",12,0.193548387096774,0.05375,"test",0.0195435890348595,0.9
"63",15,"enable",9,0.145161290322581,0.11275,"test",0.00105049174037461,0.9
"64",15,"cause",41,0.661290322580645,0.82225,"test",0.0259080177549428,0.9
"65",16,"no_difference",1,0.0161290322580645,0.06425,"train",0.0023156275364204,0.9
"66",16,"affect",8,0.129032258064516,0.224,"train",0.00901887200832466,0.9
"67",16,"enable",7,0.112903225806452,0.25825,"train",0.0211256847684703,0.9
"68",16,"cause",46,0.741935483870968,0.4535,"train",0.0831950283558793,0.9
"69",17,"no_difference",6,0.0967741935483871,0.41475,"train",0.101108613488554,0.9
"70",17,"affect",41,0.661290322580645,0.39475,"train",0.0710437435613944,0.9
"71",17,"enable",11,0.17741935483871,0.11975,"train",0.00332575448751301,0.9
"72",17,"cause",4,0.0645161290322581,0.07075,"train",3.88611472424557e-05,0.9
"73",18,"no_difference",2,0.032258064516129,0.09075,"test",0.00342130651664932,0.9
"74",18,"affect",2,0.032258064516129,0.275,"test",0.0589236472424558,0.9
"75",18,"enable",55,0.887096774193548,0.265,"test",0.387004396462019,0.9
"76",18,"cause",3,0.0483870967741935,0.36925,"test",0.102953002666493,0.9
"77",19,"no_difference",6,0.0967741935483871,0.061,"train",0.00127979292403746,0.9
