"","trial","response","n","data_y","model_y","half","sq_err","uncertainty_noise"
"1",0,"no_difference",59,0.951612903225806,0.77575,"test",0.0309277607310094,0.8
"2",0,"affect",1,0.0161290322580645,0.15575,"test",0.0194940146331946,0.8
"3",0,"enable",1,0.0161290322580645,0.05225,"test",0.00130472431061394,0.8
"4",0,"cause",1,0.0161290322580645,0.01625,"test",1.46331945889701e-08,0.8
"5",1,"no_difference",6,0.0967741935483871,0.16025,"train",0.00402917800468262,0.8
"6",1,"affect",7,0.112903225806452,0.29725,"train",0.0339837331555671,0.8
"7",1,"enable",47,0.758064516129032,0.321,"train",0.191025391259105,0.8
"8",1,"cause",2,0.032258064516129,0.2215,"train",0.0358125101456816,0.8
"9",2,"no_difference",39,0.629032258064516,0.40025,"train",0.0523413216050989,0.8
"10",2,"affect",15,0.241935483870968,0.332,"train",0.00811161706555671,0.8
"11",2,"enable",2,0.032258064516129,0.18975,"train",0.0248037097424558,0.8
"12",2,"cause",6,0.0967741935483871,0.078,"train",0.0003524703433923,0.8
"13",3,"no_difference",3,0.0483870967741935,0.30875,"test",0.0677888413761707,0.8
"14",3,"affect",22,0.354838709677419,0.33775,"test",0.000292023998439127,0.8
"15",3,"enable",7,0.112903225806452,0.2395,"test",0.0160267432362123,0.8
"16",3,"cause",30,0.483870967741935,0.114,"test",0.136804532778356,0.8
"17",4,"no_difference",36,0.580645161290323,0.37775,"test",0.041166446475026,0.8
"18",4,"affect",18,0.290322580645161,0.34575,"test",0.00307219881633715,0.8
"19",4,"enable",6,0.0967741935483871,0.19025,"test",0.0087377263917794,0.8
"20",4,"cause",2,0.032258064516129,0.08625,"test",0.00291512909729448,0.8
"21",5,"no_difference",1,0.0161290322580645,0.05825,"train",0.00177417592351717,0.8
"22",5,"affect",4,0.0645161290322581,0.14025,"train",0.00573561921175859,0.8
"23",5,"enable",6,0.0967741935483871,0.30575,"train",0.043670887682102,0.8
"24",5,"cause",51,0.82258064516129,0.49575,"train",0.106818270616545,0.8
"25",6,"no_difference",4,0.0645161290322581,0.044,"test",0.000420911550468262,0.8
"26",6,"affect",27,0.435483870967742,0.1425,"test",0.0858395486472424,0.8
"27",6,"enable",12,0.193548387096774,0.3205,"test",0.0161167120187305,0.8
"28",6,"cause",19,0.306451612903226,0.493,"test",0.0348003007284079,0.8
